Llegada de Pasajeros por Nacionalidad,Sexo,Total de Llegada de Pasajero por Nacionalidad,Año
Hungría,Masculino,2136,2018
Reino Unido,Femenino,95959,2018
Reino Unido,Masculino,89970,2018
Irlanda,Femenino,544,2018
Irlanda,Masculino,403,2018
Italia,Femenino,39798,2018
Italia,Masculino,36636,2018
Luxemburgo,Femenino,546,2018
Luxemburgo,Masculino,529,2018
Noruega,Femenino,800,2018
Noruega,Masculino,1016,2018
Polonia,Femenino,18996,2018
Polonia,Masculino,17211,2018
Portugal,Femenino,21493,2018
Portugal,Masculino,19052,2018
República Checa,Femenino,4116,2018
República Checa,Masculino,3571,2018
Rumania,Femenino,2760,2018
Rumania,Masculino,2488,2018
Rusia,Femenino,116327,2018
Rusia,Masculino,102614,2018
Suecia,Femenino,5699,2018
Suecia,Masculino,6162,2018
Suiza,Femenino,19375,2018
Suiza,Masculino,17798,2018
Ucrania,Femenino,8084,2018
Ucrania,Masculino,7305,2018
Otros de Europa,Femenino,3050,2018
Otros de Europa,Masculino,3080,2018
Asia,Femenino,8418,2018
Asia,Masculino,8794,2018
Corea del Sur,Femenino,768,2018
Corea del Sur,Masculino,751,2018
China,Femenino,1912,2018
China,Masculino,1947,2018
India,Femenino,803,2018
India,Masculino,799,2018
Israel,Femenino,1127,2018
Israel,Masculino,1304,2018
Japón,Femenino,797,2018
Japón,Masculino,905,2018
Tailandia,Femenino,0,2018
Tailandia,Masculino,0,2018
Taiwán,Femenino,210,2018
Taiwán,Masculino,192,2018
Otros de Asia,Femenino,2801,2018
Otros de Asia,Masculino,2896,2018
Resto del mundo,Femenino,1666,2018
Resto del mundo,Masculino,1468,2018
Australia,Femenino,605,2018
Australia,Masculino,634,2018
Otros resto del mundo,Femenino,1061,2018
Otros resto del mundo,Masculino,834,2018
Dominicanos residentes,Femenino,395859,2019
Dominicanos residentes,Masculino,240308,2019
Extranjeros residentes,Femenino,23520,2019
Extranjeros residentes,Masculino,21134,2019
Dominicanos no residentes,Femenino,654891,2019
Dominicanos no residentes,Masculino,433526,2019
Extranjeros no residentes,Femenino,2900436,2019
Extranjeros no residentes,Masculino,2457183,2019
América del norte,Femenino,1689136,2019
América del norte,Masculino,1439012,2019
Canadá,Femenino,465344,2019
Canadá,Masculino,426632,2019
Estados Unidos,Femenino,1196397,2019
Estados Unidos,Masculino,990325,2019
México,Femenino,27395,2019
México,Masculino,22055,2019
América central y Caribe,Femenino,121851,2019
América central y Caribe,Masculino,106694,2019
Aruba,Femenino,670,2019
Aruba,Masculino,458,2019
Bahamas,Femenino,0,2019
Bahamas,Masculino,0,2019
"Caicos y Turcas, Islas",Femenino,968,2019
"Caicos y Turcas, Islas",Masculino,1462,2019
Costa Rica,Femenino,7241,2019
Costa Rica,Masculino,5397,2019
Cuba,Femenino,12541,2019
Cuba,Masculino,6848,2019
Curazao,Femenino,976,2019
Curazao,Masculino,656,2019
El Salvador,Femenino,2380,2019
El Salvador,Masculino,1746,2019
Guadalupe,Femenino,1828,2019
Guadalupe,Masculino,2049,2019
Guatemala,Femenino,4836,2019
Guatemala,Masculino,4202,2019
Haití,Femenino,4550,2019
Haití,Masculino,12984,2019
Honduras,Femenino,2020,2019
Honduras,Masculino,1412,2019
Jamaica,Femenino,1615,2019
Jamaica,Masculino,1006,2019
Martinica,Femenino,852,2019
Martinica,Masculino,977,2019
Nicaragua,Femenino,0,2019
Nicaragua,Masculino,0,2019
Panamá,Femenino,10644,2019
Panamá,Masculino,9560,2019
Puerto Rico,Femenino,63453,2019
Puerto Rico,Masculino,50615,2019
San Martín,Femenino,1289,2019
San Martín,Masculino,1019,2019
Trinidad y Tobago,Femenino,2084,2019
Trinidad y Tobago,Masculino,1537,2019
"Vírgenes Americanas, Islas",Femenino,169,2019
"Vírgenes Americanas, Islas",Masculino,298,2019
Otros del Caribe,Femenino,3735,2019
Otros del Caribe,Masculino,4468,2019
América del sur,Femenino,402271,2019
América del sur,Masculino,312108,2019
Argentina,Femenino,101550,2019
Argentina,Masculino,84869,2019
Bolivia,Femenino,7499,2019
Bolivia,Masculino,6711,2019
Brasil,Femenino,58293,2019
Brasil,Masculino,48809,2019
Colombia,Femenino,60187,2019
Colombia,Masculino,46179,2019
Chile,Femenino,63904,2019
Chile,Masculino,50588,2019
Ecuador,Femenino,6566,2019
Ecuador,Masculino,5247,2019
Perú,Femenino,21286,2019
Perú,Masculino,17992,2019
Uruguay,Femenino,14158,2019
Uruguay,Masculino,10810,2019
Venezuela,Femenino,64437,2019
Venezuela,Masculino,37354,2019
Otros de Suramérica,Femenino,4391,2019
Otros de Suramérica,Masculino,3549,2019
Europa,Femenino,676482,2019
Europa,Masculino,588795,2019
Alemania,Femenino,91349,2019
Alemania,Masculino,87559,2019
Austria,Femenino,6035,2019
Austria,Masculino,5504,2019
Bélgica,Femenino,17763,2019
Bélgica,Masculino,15134,2019
Bulgaria,Femenino,1369,2019
Bulgaria,Masculino,1224,2019
Checoslovaquia,Femenino,0,2019
Checoslovaquia,Masculino,0,2019
Dinamarca,Femenino,2280,2019
Dinamarca,Masculino,2153,2019
Escocia,Femenino,489,2019
Escocia,Masculino,417,2019
España,Femenino,88756,2019
España,Masculino,76961,2019
Finlandia,Femenino,2395,2019
Finlandia,Masculino,2280,2019
Francia,Femenino,117314,2019
Francia,Masculino,93874,2019
Grecia,Femenino,400,2019
Grecia,Masculino,388,2019
Holanda,Femenino,17486,2019
Holanda,Masculino,16311,2019
Hungría,Femenino,3022,2019
Hungría,Masculino,2548,2019
Reino Unido,Femenino,84752,2019
Reino Unido,Masculino,71827,2019
Irlanda,Femenino,666,2019
Irlanda,Masculino,758,2019
Italia,Femenino,45559,2019
Italia,Masculino,38366,2019
Luxemburgo,Femenino,563,2019
Luxemburgo,Masculino,519,2019
Noruega,Femenino,756,2019
Noruega,Masculino,674,2019
Polonia,Femenino,17380,2019
Polonia,Masculino,16268,2019
Portugal,Femenino,19269,2019
Portugal,Masculino,16497,2019
República Checa,Femenino,4040,2019
República Checa,Masculino,3609,2019
Rumania,Femenino,4017,2019
Rumania,Masculino,3743,2019
Rusia,Femenino,112133,2019
Rusia,Masculino,96826,2019
Suecia,Femenino,4792,2019
Suecia,Masculino,4740,2019
Suiza,Femenino,18051,2019
Suiza,Masculino,15937,2019
Ucrania,Femenino,12088,2019
Ucrania,Masculino,11175,2019
Otros de Europa,Femenino,3758,2019
Otros de Europa,Masculino,3503,2019
Asia,Femenino,8996,2019
Asia,Masculino,8959,2019
Corea del Sur,Femenino,709,2019
Corea del Sur,Masculino,662,2019
China,Femenino,2955,2019
China,Masculino,2676,2019
India,Femenino,777,2019
India,Masculino,876,2019
Israel,Femenino,1364,2019
Israel,Masculino,1286,2019
Japón,Femenino,787,2019
Japón,Masculino,780,2019
Tailandia,Femenino,0,2019
Tailandia,Masculino,0,2019
Taiwán,Femenino,181,2019
Taiwán,Masculino,153,2019
Otros de Asia,Femenino,2223,2019
Otros de Asia,Masculino,2526,2019
Resto del mundo,Femenino,1700,2019
Resto del mundo,Masculino,1615,2019
Australia,Femenino,816,2019
Australia,Masculino,879,2019
Otros resto del mundo,Femenino,884,2019
Otros resto del mundo,Masculino,736,2019
Dominicanos residentes,Femenino,161701,2020
Dominicanos residentes,Masculino,123214,2020
Extranjeros residentes,Femenino,8416,2020
Extranjeros residentes,Masculino,8782,2020
Dominicanos no residentes,Femenino,386010,2020
Dominicanos no residentes,Masculino,320106,2020
Extranjeros no residentes,Femenino,881509,2020
Extranjeros no residentes,Masculino,817685,2020
América del norte,Femenino,562126,2020
América del norte,Masculino,519284,2020
Canadá,Femenino,187144,2020
Canadá,Masculino,170808,2020
Estados Unidos,Femenino,368533,2020
Estados Unidos,Masculino,341239,2020
México,Femenino,6449,2020
México,Masculino,7237,2020
América central y Caribe,Femenino,26258,2020
América central y Caribe,Masculino,36815,2020
Aruba,Femenino,61,2020
Aruba,Masculino,118,2020
Bahamas,Femenino,0,2020
Bahamas,Masculino,0,2020
"Caicos y Turcas, Islas",Femenino,274,2020
"Caicos y Turcas, Islas",Masculino,525,2020
Costa Rica,Femenino,1654,2020
Costa Rica,Masculino,1587,2020
Cuba,Femenino,1906,2020
Cuba,Masculino,1759,2020
Curazao,Femenino,125,2020
Curazao,Masculino,128,2020
El Salvador,Femenino,628,2020
El Salvador,Masculino,516,2020
Guadalupe,Femenino,213,2020
Guadalupe,Masculino,364,2020
Guatemala,Femenino,1143,2020
Guatemala,Masculino,1199,2020
Haití,Femenino,1767,2020
Haití,Masculino,8979,2020
Honduras,Femenino,533,2020
Honduras,Masculino,443,2020
Jamaica,Femenino,380,2020
Jamaica,Masculino,448,2020
Martinica,Femenino,96,2020
Martinica,Masculino,196,2020
Nicaragua,Femenino,0,2020
Nicaragua,Masculino,0,2020
Panamá,Femenino,2988,2020
Panamá,Masculino,3363,2020
Puerto Rico,Femenino,13068,2020
Puerto Rico,Masculino,15403,2020
San Martín,Femenino,200,2020
San Martín,Masculino,248,2020
Trinidad y Tobago,Femenino,256,2020
Trinidad y Tobago,Masculino,223,2020
"Vírgenes Americanas, Islas",Femenino,99,2020
"Vírgenes Americanas, Islas",Masculino,146,2020
Otros del Caribe,Femenino,867,2020
Otros del Caribe,Masculino,1170,2020
América del sur,Femenino,94280,2020
América del sur,Masculino,79459,2020
Argentina,Femenino,20274,2020
Argentina,Masculino,17885,2020
Bolivia,Femenino,1806,2020
Bolivia,Masculino,1518,2020
Brasil,Femenino,14706,2020
Brasil,Masculino,12842,2020
Colombia,Femenino,16071,2020
Colombia,Masculino,13006,2020
Chile,Femenino,13751,2020
Chile,Masculino,11856,2020
Ecuador,Femenino,1347,2020
Ecuador,Masculino,1248,2020
Perú,Femenino,5711,2020
Perú,Masculino,4850,2020
Uruguay,Femenino,2613,2020
Uruguay,Masculino,2168,2020
Venezuela,Femenino,16648,2020
Venezuela,Masculino,13046,2020
Otros de Suramérica,Femenino,1353,2020
Otros de Suramérica,Masculino,1040,2020
Europa,Femenino,195888,2020
Europa,Masculino,178519,2020
Alemania,Femenino,17893,2020
Alemania,Masculino,18855,2020
Austria,Femenino,1874,2020
Austria,Masculino,1814,2020
Bélgica,Femenino,4495,2020
Bélgica,Masculino,3333,2020
Bulgaria,Femenino,712,2020
Bulgaria,Masculino,809,2020
Checoslovaquia,Femenino,0,2020
Checoslovaquia,Masculino,0,2020
Dinamarca,Femenino,1088,2020
Dinamarca,Masculino,910,2020
Escocia,Femenino,89,2020
Escocia,Masculino,101,2020
España,Femenino,22341,2020
España,Masculino,21730,2020
Finlandia,Femenino,2627,2020
Finlandia,Masculino,2023,2020
Francia,Femenino,41870,2020
Francia,Masculino,34441,2020
Grecia,Femenino,145,2020
Grecia,Masculino,169,2020
Holanda,Femenino,3783,2020
Holanda,Masculino,4330,2020
Hungría,Femenino,1356,2020
Hungría,Masculino,1240,2020
Reino Unido,Femenino,15777,2020
Reino Unido,Masculino,14106,2020
Irlanda,Femenino,434,2020
Irlanda,Masculino,353,2020
Italia,Femenino,11486,2020
Italia,Masculino,11344,2020
Luxemburgo,Femenino,235,2020
Luxemburgo,Masculino,162,2020
Noruega,Femenino,175,2020
Noruega,Masculino,209,2020
Polonia,Femenino,5407,2020
Polonia,Masculino,5120,2020
Portugal,Femenino,2727,2020
Portugal,Masculino,2377,2020
República Checa,Femenino,1958,2020
República Checa,Masculino,1820,2020
Rumania,Femenino,1317,2020
Rumania,Masculino,1182,2020
Rusia,Femenino,37574,2020
Rusia,Masculino,33178,2020
Suecia,Femenino,2718,2020
Suecia,Masculino,2583,2020
Suiza,Femenino,5560,2020
Suiza,Masculino,5264,2020
Ucrania,Femenino,10923,2020
Ucrania,Masculino,9862,2020
Otros de Europa,Femenino,1324,2020
Otros de Europa,Masculino,1204,2020
Asia,Femenino,2415,2020
Asia,Masculino,3053,2020
Corea del Sur,Femenino,200,2020
Corea del Sur,Masculino,236,2020
China,Femenino,514,2020
China,Masculino,439,2020
India,Femenino,186,2020
India,Masculino,386,2020
Israel,Femenino,276,2020
Israel,Masculino,324,2020
Japón,Femenino,133,2020
Japón,Masculino,145,2020
Tailandia,Femenino,0,2020
Tailandia,Masculino,0,2020
Taiwán,Femenino,30,2020
Taiwán,Masculino,30,2020
Otros de Asia,Femenino,1076,2020
Otros de Asia,Masculino,1493,2020
Resto del mundo,Femenino,542,2020
Resto del mundo,Masculino,555,2020
Australia,Femenino,276,2020
Australia,Masculino,296,2020
Otros resto del mundo,Femenino,266,2020
Otros resto del mundo,Masculino,259,2020
Dominicanos residentes,Femenino,300787,2021
Dominicanos residentes,Masculino,228427,2021
Extranjeros residentes,Femenino,30939,2021
Extranjeros residentes,Masculino,35662,2021
Dominicanos no residentes,Femenino,744390,2021
Dominicanos no residentes,Masculino,594702,2021
Extranjeros no residentes,Femenino,1908432,2021
Extranjeros no residentes,Masculino,1746785,2021
América del norte,Femenino,1191268,2021
América del norte,Masculino,1074319,2021
Canadá,Femenino,82620,2021
Canadá,Masculino,80080,2021
Estados Unidos,Femenino,1094011,2021
Estados Unidos,Masculino,976011,2021
México,Femenino,14637,2021
México,Masculino,17270,2021
América central y Caribe,Femenino,74202,2021
América central y Caribe,Masculino,92368,2021
Aruba,Femenino,708,2021
Aruba,Masculino,772,2021
Bahamas,Femenino,0,2021
Bahamas,Masculino,0,2021
"Caicos y Turcas, Islas",Femenino,849,2021
"Caicos y Turcas, Islas",Masculino,1424,2021
Costa Rica,Femenino,3144,2021
Costa Rica,Masculino,3310,2021
Cuba,Femenino,1633,2021
Cuba,Masculino,1542,2021
Curazao,Femenino,1163,2021
Curazao,Masculino,1703,2021
El Salvador,Femenino,1415,2021
El Salvador,Masculino,1432,2021
Guadalupe,Femenino,1082,2021
Guadalupe,Masculino,1517,2021
Guatemala,Femenino,3113,2021
Guatemala,Masculino,3526,2021
Haití,Femenino,6215,2021
Haití,Masculino,12739,2021
Honduras,Femenino,1585,2021
Honduras,Masculino,1706,2021
Jamaica,Femenino,871,2021
Jamaica,Masculino,897,2021
Martinica,Femenino,875,2021
Martinica,Masculino,1212,2021
Nicaragua,Femenino,0,2021
Nicaragua,Masculino,0,2021
Panamá,Femenino,7521,2021
Panamá,Masculino,8734,2021
Puerto Rico,Femenino,40663,2021
Puerto Rico,Masculino,46181,2021
San Martín,Femenino,709,2021
San Martín,Masculino,1049,2021
Trinidad y Tobago,Femenino,154,2021
Trinidad y Tobago,Masculino,275,2021
"Vírgenes Americanas, Islas",Femenino,471,2021
"Vírgenes Americanas, Islas",Masculino,671,2021
Otros del Caribe,Femenino,2037,2021
Otros del Caribe,Masculino,3678,2021
América del sur,Femenino,221379,2021
América del sur,Masculino,183515,2021
Argentina,Femenino,15972,2021
Argentina,Masculino,13777,2021
Bolivia,Femenino,6686,2021
Bolivia,Masculino,4897,2021
Brasil,Femenino,22334,2021
Brasil,Masculino,19139,2021
Colombia,Femenino,68960,2021
Colombia,Masculino,53964,2021
Chile,Femenino,17816,2021
Chile,Masculino,15866,2021
Ecuador,Femenino,7224,2021
Ecuador,Masculino,5893,2021
Perú,Femenino,1010,2021
Perú,Masculino,13046,2021
Uruguay,Femenino,5763,2021
Uruguay,Masculino,4806,2021
Venezuela,Femenino,56454,2021
Venezuela,Masculino,48807,2021
Otros de Suramérica,Femenino,4160,2021
Otros de Suramérica,Masculino,3320,2021
Europa,Femenino,416644,2021
Europa,Masculino,388222,2021
Alemania,Femenino,52214,2021
Alemania,Masculino,53315,2021
Austria,Femenino,2798,2021
Austria,Masculino,3098,2021
Bélgica,Femenino,6911,2021
Bélgica,Masculino,6433,2021
Bulgaria,Femenino,1384,2021
Bulgaria,Masculino,1169,2021
Checoslovaquia,Femenino,0,2021
Checoslovaquia,Masculino,0,2021
Dinamarca,Femenino,687,2021
Dinamarca,Masculino,832,2021
Escocia,Femenino,26,2021
Escocia,Masculino,13,2021
España,Femenino,61003,2021
España,Masculino,61365,2021
Finlandia,Femenino,208,2021
Finlandia,Masculino,294,2021
Francia,Femenino,53703,2021
Francia,Masculino,49992,2021
Grecia,Femenino,222,2021
Grecia,Masculino,575,2021
Holanda,Femenino,5027,2021
Holanda,Masculino,5525,2021
Hungría,Femenino,2101,2021
Hungría,Masculino,2028,2021
Reino Unido,Femenino,8712,2021
Reino Unido,Masculino,9065,2021
Irlanda,Femenino,421,2021
Irlanda,Masculino,447,2021
Italia,Femenino,11600,2021
Italia,Masculino,15237,2021
Luxemburgo,Femenino,795,2021
Luxemburgo,Masculino,746,2021
Noruega,Femenino,339,2021
Noruega,Masculino,457,2021
Polonia,Femenino,30153,2021
Polonia,Masculino,26973,2021
Portugal,Femenino,10820,2021
Portugal,Masculino,9862,2021
República Checa,Femenino,5370,2021
República Checa,Masculino,4915,2021
Rumania,Femenino,4503,2021
Rumania,Masculino,3666,2021
Rusia,Femenino,99155,2021
Rusia,Masculino,79800,2021
Suecia,Femenino,789,2021
Suecia,Masculino,841,2021
Suiza,Femenino,17731,2021
Suiza,Masculino,17322,2021
Ucrania,Femenino,35613,2021
Ucrania,Masculino,29800,2021
Otros de Europa,Femenino,4359,2021
Otros de Europa,Masculino,4452,2021
Asia,Femenino,4275,2021
Asia,Masculino,7375,2021
Corea del Sur,Femenino,235,2021
Corea del Sur,Masculino,450,2021
China,Femenino,234,2021
China,Masculino,481,2021
India,Femenino,214,2021
India,Masculino,541,2021
Israel,Femenino,1379,2021
Israel,Masculino,1523,2021
Japón,Femenino,128,2021
Japón,Masculino,180,2021
Tailandia,Femenino,0,2021
Tailandia,Masculino,0,2021
Taiwán,Femenino,23,2021
Taiwán,Masculino,28,2021
Otros de Asia,Femenino,2062,2021
Otros de Asia,Masculino,4172,2021
Resto del mundo,Femenino,664,2021
Resto del mundo,Masculino,986,2021
Australia,Femenino,110,2021
Australia,Masculino,233,2021
Otros resto del mundo,Femenino,554,2021
Otros resto del mundo,Masculino,753,2021
Dominicanos residentes,Femenino,354964,2022
Dominicanos residentes,Masculino,292142,2022
Extranjeros residentes,Femenino,60690,2022
Extranjeros residentes,Masculino,71523,2022
Dominicanos no residentes,Femenino,744919,2022
Dominicanos no residentes,Masculino,613126,2022
Extranjeros no residentes,Femenino,2966511,2022
Extranjeros no residentes,Masculino,2838838,2022
América del norte,Femenino,1724219,2022
América del norte,Masculino,1642972,2022
Canadá,Femenino,374312,2022
Canadá,Masculino,339979,2022
Estados Unidos,Femenino,1325739,2022
Estados Unidos,Masculino,1271457,2022
México,Femenino,24168,2022
México,Masculino,31536,2022
América central y Caribe,Femenino,122750,2022
América central y Caribe,Masculino,146600,2022
Aruba,Femenino,1137,2022
Aruba,Masculino,1461,2022
Bahamas,Femenino,0,2022
Bahamas,Masculino,0,2022
"Caicos y Turcas, Islas",Femenino,1490,2022
"Caicos y Turcas, Islas",Masculino,2575,2022
Costa Rica,Femenino,4596,2022
Costa Rica,Masculino,6266,2022
Cuba,Femenino,5270,2022
Cuba,Masculino,5523,2022
Curazao,Femenino,2072,2022
Curazao,Masculino,3073,2022
El Salvador,Femenino,3035,2022
El Salvador,Masculino,3118,2022
Guadalupe,Femenino,3643,2022
Guadalupe,Masculino,4329,2022
Guatemala,Femenino,5850,2022
Guatemala,Masculino,7637,2022
Haití,Femenino,12784,2022
Haití,Masculino,16108,2022
Honduras,Femenino,2514,2022
Honduras,Masculino,2765,2022
Jamaica,Femenino,2317,2022
Jamaica,Masculino,2742,2022
Martinica,Femenino,2846,2022
Martinica,Masculino,3547,2022
Nicaragua,Femenino,0,2022
Nicaragua,Masculino,0,2022
Panamá,Femenino,10865,2022
Panamá,Masculino,14415,2022
Puerto Rico,Femenino,56859,2022
Puerto Rico,Masculino,62186,2022
San Martín,Femenino,1067,2022
San Martín,Masculino,1728,2022
Trinidad y Tobago,Femenino,1607,2022
Trinidad y Tobago,Masculino,1440,2022
"Vírgenes Americanas, Islas",Femenino,684,2022
"Vírgenes Americanas, Islas",Masculino,1040,2022
Otros del Caribe,Femenino,4114,2022
Otros del Caribe,Masculino,6646,2022
América del sur,Femenino,451346,2022
América del sur,Masculino,394296,2022
Argentina,Femenino,94014,2022
Argentina,Masculino,83870,2022
Bolivia,Femenino,6517,2022
Bolivia,Masculino,5438,2022
Brasil,Femenino,35967,2022
Brasil,Masculino,35367,2022
Colombia,Femenino,140098,2022
Colombia,Masculino,116535,2022
Chile,Femenino,64456,2022
Chile,Masculino,54774,2022
Ecuador,Femenino,19393,2022
Ecuador,Masculino,16063,2022
Perú,Femenino,39325,2022
Perú,Masculino,32073,2022
Uruguay,Femenino,12568,2022
Uruguay,Masculino,10818,2022
Venezuela,Femenino,32990,2022
Venezuela,Masculino,34584,2022
Otros de Suramérica,Femenino,6018,2022
Otros de Suramérica,Masculino,4774,2022
Europa,Femenino,660277,2022
Europa,Masculino,639880,2022
Alemania,Femenino,92837,2022
Alemania,Masculino,92981,2022
Austria,Femenino,6575,2022
Austria,Masculino,7011,2022
Bélgica,Femenino,17633,2022
Bélgica,Masculino,16116,2022
Bulgaria,Femenino,2425,2022
Bulgaria,Masculino,2264,2022
Checoslovaquia,Femenino,0,2022
Checoslovaquia,Masculino,0,2022
Dinamarca,Femenino,1778,2022
Dinamarca,Masculino,1812,2022
Escocia,Femenino,0,2022
Escocia,Masculino,0,2022
España,Femenino,93216,2022
España,Masculino,99657,2022
Finlandia,Femenino,504,2022
Finlandia,Masculino,622,2022
Francia,Femenino,113251,2022
Francia,Masculino,104722,2022
Grecia,Femenino,319,2022
Grecia,Masculino,553,2022
Holanda,Femenino,15051,2022
Holanda,Masculino,15303,2022
Hungría,Femenino,4574,2022
Hungría,Masculino,4459,2022
Reino Unido,Femenino,102751,2022
Reino Unido,Masculino,94193,2022
Irlanda,Femenino,1818,2022
Irlanda,Masculino,1789,2022
Italia,Femenino,35123,2022
Italia,Masculino,41463,2022
Luxemburgo,Femenino,1335,2022
Luxemburgo,Masculino,1365,2022
Noruega,Femenino,1228,2022
Noruega,Masculino,1377,2022
Polonia,Femenino,28904,2022
Polonia,Masculino,26450,2022
Portugal,Femenino,26012,2022
Portugal,Masculino,24231,2022
República Checa,Femenino,13292,2022
República Checa,Masculino,12244,2022
Rumania,Femenino,5480,2022
Rumania,Masculino,5216,2022
Rusia,Femenino,52600,2022
Rusia,Masculino,43336,2022
Suecia,Femenino,1887,2022
Suecia,Masculino,2052,2022
Suiza,Femenino,22518,2022
Suiza,Masculino,22666,2022
Ucrania,Femenino,10332,2022
Ucrania,Masculino,8452,2022
Otros de Europa,Femenino,8834,2022
Otros de Europa,Masculino,9546,2022
Asia,Femenino,6126,2022
Asia,Masculino,12462,2022
Corea del Sur,Femenino,338,2022
Corea del Sur,Masculino,854,2022
China,Femenino,427,2022
China,Masculino,1127,2022
India,Femenino,325,2022
India,Masculino,1116,2022
Israel,Femenino,1769,2022
Israel,Masculino,1999,2022
Japón,Femenino,210,2022
Japón,Masculino,422,2022
Tailandia,Femenino,0,2022
Tailandia,Masculino,0,2022
Taiwán,Femenino,63,2022
Taiwán,Masculino,106,2022
Otros de Asia,Femenino,2994,2022
Otros de Asia,Masculino,6838,2022
Resto del mundo,Femenino,1793,2022
Resto del mundo,Masculino,2629,2022
Australia,Femenino,514,2022
Australia,Masculino,721,2022
Otros resto del mundo,Femenino,1279,2022
Otros resto del mundo,Masculino,1908,2022
Dominicanos residentes,Femenino,436446,2023
Dominicanos residentes,Masculino,360631,2023
Extranjeros residentes,Femenino,71398,2023
Extranjeros residentes,Masculino,81948,2023
Dominicanos no residentes,Femenino,726682,2023
Dominicanos no residentes,Masculino,601187,2023
Extranjeros no residentes,Femenino,3455055,2023
Extranjeros no residentes,Masculino,3275746,2023
América del norte,Femenino,2232423,2023
América del norte,Masculino,2099607,2023
Canadá,Femenino,575647,2023
Canadá,Masculino,516601,2023
Estados Unidos,Femenino,1617348,2023
Estados Unidos,Masculino,1535986,2023
México,Femenino,39427,2023
México,Masculino,47020,2023
América central y Caribe,Femenino,194966,2023
América central y Caribe,Masculino,213833,2023
Aruba,Femenino,1280,2023
Aruba,Masculino,1474,2023
Bahamas,Femenino,0,2023
Bahamas,Masculino,0,2023
"Caicos y Turcas, Islas",Femenino,1811,2023
"Caicos y Turcas, Islas",Masculino,3063,2023
Costa Rica,Femenino,10690,2023
Costa Rica,Masculino,11903,2023
Cuba,Femenino,5612,2023
Cuba,Masculino,5863,2023
Curazao,Femenino,2169,2023
Curazao,Masculino,3013,2023
El Salvador,Femenino,8286,2023
El Salvador,Masculino,7721,2023
Guadalupe,Femenino,4437,2023
Guadalupe,Masculino,4748,2023
Guatemala,Femenino,14388,2023
Guatemala,Masculino,15600,2023
Haití,Femenino,13930,2023
Haití,Masculino,18526,2023
Honduras,Femenino,3700,2023
Honduras,Masculino,3888,2023
Jamaica,Femenino,7934,2023
Jamaica,Masculino,6567,2023
Martinica,Femenino,3782,2023
Martinica,Masculino,4190,2023
Nicaragua,Femenino,0,2023
Nicaragua,Masculino,0,2023
Panamá,Femenino,16484,2023
Panamá,Masculino,20277,2023
Puerto Rico,Femenino,89732,2023
Puerto Rico,Masculino,92375,2023
San Martín,Femenino,1984,2023
San Martín,Masculino,2642,2023
Trinidad y Tobago,Femenino,1672,2023
Trinidad y Tobago,Masculino,1735,2023
"Vírgenes Americanas, Islas",Femenino,940,2023
"Vírgenes Americanas, Islas",Masculino,1420,2023
Otros del Caribe,Femenino,6133,2023
Otros del Caribe,Masculino,8828,2023
América del sur,Femenino,523903,2023
América del sur,Masculino,453850,2023
Argentina,Femenino,105504,2023
Argentina,Masculino,94164,2023
Bolivia,Femenino,6377,2023
Bolivia,Masculino,5444,2023
Brasil,Femenino,56010,2023
Brasil,Masculino,53761,2023
Colombia,Femenino,168540,2023
Colombia,Masculino,137117,2023
Chile,Femenino,69894,2023
Chile,Masculino,58407,2023
Ecuador,Femenino,26143,2023
Ecuador,Masculino,21520,2023
Perú,Femenino,43825,2023
Perú,Masculino,35537,2023
Uruguay,Femenino,13892,2023
Uruguay,Masculino,12135,2023
Venezuela,Femenino,27727,2023
Venezuela,Masculino,30409,2023
Otros de Suramérica,Femenino,5992,2023
Otros de Suramérica,Masculino,5356,2023
Europa,Femenino,494917,2023
Europa,Masculino,490010,2023
Alemania,Femenino,70467,2023
Alemania,Masculino,70527,2023
Austria,Femenino,5727,2023
Austria,Masculino,5991,2023
Bélgica,Femenino,12498,2023
Bélgica,Masculino,11652,2023
Bulgaria,Femenino,1969,2023
Bulgaria,Masculino,1793,2023
Checoslovaquia,Femenino,0,2023
Checoslovaquia,Masculino,0,2023
Dinamarca,Femenino,1553,2023
Dinamarca,Masculino,1708,2023
Escocia,Femenino,0,2023
Escocia,Masculino,0,2023
España,Femenino,92403,2023
España,Masculino,97820,2023
Finlandia,Femenino,635,2023
Finlandia,Masculino,658,2023
Francia,Femenino,74218,2023
Francia,Masculino,69615,2023
Grecia,Femenino,420,2023
Grecia,Masculino,666,2023
Holanda,Femenino,12048,2023
Holanda,Masculino,12528,2023
Hungría,Femenino,2649,2023
Hungría,Masculino,2657,2023
Reino Unido,Femenino,91613,2023
Reino Unido,Masculino,84156,2023
Irlanda,Femenino,1690,2023
Irlanda,Masculino,1723,2023
Italia,Femenino,36065,2023
Italia,Masculino,42436,2023
Luxemburgo,Femenino,890,2023
Luxemburgo,Masculino,906,2023
Noruega,Femenino,1147,2023
Noruega,Masculino,1254,2023
Polonia,Femenino,19296,2023
Polonia,Masculino,17545,2023
Portugal,Femenino,25392,2023
Portugal,Masculino,23581,2023
República Checa,Femenino,8987,2023
República Checa,Masculino,8125,2023
Rumania,Femenino,3241,2023
Rumania,Masculino,3238,2023
Rusia,Femenino,1516,2023
Rusia,Masculino,1551,2023
Suecia,Femenino,1867,2023
Suecia,Masculino,1983,2023
Suiza,Femenino,17905,2023
